06-15-2026 05:34:19 RAM 8618/30991MB (lfb 2092x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2264,100%@2264,100%@2267,100%@2265,100%@2265,100%@2264,100%@2263] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@36.5C CPU@40.5C thermal@37.7C Tboard@35C AO@35.5C GPU@36.5C Tdiode@41.25C PMIC@50C GPU 1108mW/1082mW CPU 9500mW/7037mW SOC 2534mW/2536mW CV 158mW/158mW VDDRQ 633mW/488mW SYS5V 3120mW/3120mW
06-15-2026 05:34:19 RAM 8624/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2263,100%@2265,100%@2265,100%@2265,100%@2264,95%@2264,100%@2265] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@36.5C CPU@40.5C thermal@37.7C Tboard@35C AO@35.5C GPU@36.5C Tdiode@41.5C PMIC@50C GPU 1108mW/1084mW CPU 9500mW/7226mW SOC 2534mW/2536mW CV 158mW/158mW VDDRQ 633mW/499mW SYS5V 3120mW/3120mW
06-15-2026 05:34:19 RAM 8631/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2270,100%@2269,100%@2265,100%@2265,100%@2264,100%@2275,100%@2265,100%@2264] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@36.5C CPU@40.5C thermal@37.7C Tboard@35C AO@35.5C GPU@37C Tdiode@41.5C PMIC@50C GPU 1108mW/1086mW CPU 9658mW/7400mW SOC 2534mW/2536mW CV 158mW/158mW VDDRQ 633mW/509mW SYS5V 3120mW/3120mW
06-15-2026 05:34:19 RAM 8638/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2264,100%@2265,100%@2265,100%@2265,100%@2265,100%@2262] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@36.5C CPU@40.5C thermal@37.7C Tboard@35C AO@35.5C GPU@36.5C Tdiode@41.5C PMIC@50C GPU 1108mW/1087mW CPU 9658mW/7550mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 475mW/506mW SYS5V 3120mW/3120mW
06-15-2026 05:34:20 RAM 8643/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2271,100%@2264,100%@2265,100%@2265,100%@2265,100%@2265,100%@2264,100%@2265] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@36.5C CPU@40.5C thermal@37.7C Tboard@35C AO@35.5C GPU@37C Tdiode@41.5C PMIC@50C GPU 1108mW/1088mW CPU 9658mW/7682mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 475mW/504mW SYS5V 3120mW/3120mW
06-15-2026 05:34:20 RAM 8647/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2264,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2264] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@36.5C CPU@41C thermal@38C Tboard@35C AO@35.5C GPU@37C Tdiode@41.5C PMIC@50C GPU 1108mW/1090mW CPU 9658mW/7798mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 475mW/503mW SYS5V 3120mW/3120mW
06-15-2026 05:34:20 RAM 8653/30991MB (lfb 2092x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2266,100%@2266,100%@2265,100%@2255,100%@2265,100%@2265] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@36.5C CPU@41C thermal@38C Tboard@35C AO@35.5C GPU@37C Tdiode@41.75C PMIC@50C GPU 1108mW/1091mW CPU 9658mW/7901mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 475mW/501mW SYS5V 3120mW/3120mW
06-15-2026 05:34:20 RAM 8680/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2264,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2264,100%@2265] EMC_FREQ 0%@2133 GR3D_FREQ 3%@[1377] VIC_FREQ 115 APE 150 AUX@36.5C CPU@41C thermal@38C Tboard@35C AO@36C GPU@37C Tdiode@41.5C PMIC@50C GPU 1108mW/1091mW CPU 9658mW/7994mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 633mW/508mW SYS5V 3120mW/3120mW
06-15-2026 05:34:20 RAM 8769/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2266,100%@2262,100%@2264,100%@2264,100%@2263,100%@2274,100%@2265,100%@2265] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37C CPU@41C thermal@38C Tboard@35C AO@36C GPU@37C Tdiode@41.75C PMIC@50C GPU 1108mW/1092mW CPU 9658mW/8077mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 633mW/514mW SYS5V 3160mW/3122mW
06-15-2026 05:34:21 RAM 8799/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2264,100%@2264,100%@2265,100%@2264] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37C CPU@41C thermal@38C Tboard@35C AO@36C GPU@37C Tdiode@41.75C PMIC@50C GPU 1108mW/1093mW CPU 9658mW/8152mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 633mW/520mW SYS5V 3160mW/3123mW
